route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
1,Arki,00010031__1031generatedBlock,Satama,1,1031generatedBlock,0_525,2
1,Arki,00010032__1032generatedBlock,Satama,1,1032generatedBlock,0_525,2
1,Arki,00010033__1033generatedBlock,Satama,1,1033generatedBlock,0_525,2
1,Arki,00010034__1034generatedBlock,Satama,1,1034generatedBlock,0_525,2
1,Arki,00010035__1035generatedBlock,Satama,1,1035generatedBlock,0_525,2
1,Arki,00010036__1036generatedBlock,Satama,1,1036generatedBlock,0_525,2
1,Arki,00010037__1037generatedBlock,Satama,1,1037generatedBlock,0_525,2
1,Arki,00010038__1038generatedBlock,Satama,1,1038generatedBlock,0_525,2
1,Arki,00010039__1039generatedBlock,Satama,1,1039generatedBlock,0_525,2
1,Arki,00010040__1040generatedBlock,Satama,1,1040generatedBlock,0_525,2
1,Arki,00010041__1041generatedBlock,Satama,1,1041generatedBlock,0_525,2
1,Arki,00010042__1042generatedBlock,Satama,1,1042generatedBlock,0_525,2
1,Arki,00010043__1043generatedBlock,Satama,1,1043generatedBlock,0_525,2
1,Arki,00010044__1044generatedBlock,Satama,1,1044generatedBlock,0_525,2
1,Arki,00010045__1045generatedBlock,Satama,1,1045generatedBlock,0_525,2
1,Arki,00010046__1046generatedBlock,Satama,1,1046generatedBlock,0_525,2
1,Arki,00010047__1047generatedBlock,Satama,1,1047generatedBlock,0_525,2
1,Arki,00010048__1048generatedBlock,Satama,1,1048generatedBlock,0_525,2
1,Arki,00010049__1049generatedBlock,Satama,1,1049generatedBlock,0_525,2
1,Arki,00010050__1050generatedBlock,Satama,1,1050generatedBlock,0_525,2
1,Arki,00010051__1051generatedBlock,Satama,1,1051generatedBlock,0_525,2
1,Arki,00010052__1052generatedBlock,Satama,1,1052generatedBlock,0_525,2
1,Arki,00010053__1053generatedBlock,Satama,1,1053generatedBlock,0_525,2
1,Arki,00010054__1054generatedBlock,Satama,1,1054generatedBlock,0_525,2
1,Arki,00010055__1055generatedBlock,Satama,1,1055generatedBlock,0_525,2
1,Arki,00010056__1056generatedBlock,Satama,1,1056generatedBlock,0_525,2
1,Arki,00010057__1057generatedBlock,Satama,1,1057generatedBlock,0_525,2
1,Arki,00010058__1058generatedBlock,Satama,1,1058generatedBlock,0_525,2
1,Arki,00010059__1059generatedBlock,Satama,1,1059generatedBlock,0_525,2
1,Arki,00010060__1060generatedBlock,Satama,1,1060generatedBlock,0_525,2
1,Arki,00010061__1061generatedBlock,Satama,1,1061generatedBlock,0_525,2
1,Arki,00010062__1062generatedBlock,Satama,1,1062generatedBlock,0_525,2
1,Arki,00010063__1063generatedBlock,Satama,1,1063generatedBlock,0_525,2
1,Arki,00010064__1064generatedBlock,Satama,1,1064generatedBlock,0_525,2
1,Lauantai,00010065__1065generatedBlock,Satama,1,1065generatedBlock,0_525,2
1,Lauantai,00010066__1066generatedBlock,Satama,1,1066generatedBlock,0_525,2
1,Lauantai,00010067__1067generatedBlock,Satama,1,1067generatedBlock,0_525,2
1,Lauantai,00010068__1068generatedBlock,Satama,1,1068generatedBlock,0_525,2
1,Lauantai,00010069__1069generatedBlock,Satama,1,1069generatedBlock,0_525,2
1,Lauantai,00010070__1070generatedBlock,Satama,1,1070generatedBlock,0_525,2
1,Lauantai,00010071__1071generatedBlock,Satama,1,1071generatedBlock,0_525,2
1,Lauantai,00010072__1072generatedBlock,Satama,1,1072generatedBlock,0_525,2
1,Lauantai,00010073__1073generatedBlock,Satama,1,1073generatedBlock,0_525,2
1,Lauantai,00010074__1074generatedBlock,Satama,1,1074generatedBlock,0_525,2
1,Lauantai,00010075__1075generatedBlock,Satama,1,1075generatedBlock,0_525,2
1,Lauantai,00010076__1076generatedBlock,Satama,1,1076generatedBlock,0_525,2
1,Lauantai,00010077__1077generatedBlock,Satama,1,1077generatedBlock,0_525,2
1,Lauantai,00010078__1078generatedBlock,Satama,1,1078generatedBlock,0_525,2
1,Lauantai,00010079__1079generatedBlock,Satama,1,1079generatedBlock,0_525,2
1,Lauantai,00010080__1080generatedBlock,Satama,1,1080generatedBlock,0_525,2
1,Lauantai,00010081__1081generatedBlock,Satama,1,1081generatedBlock,0_525,2
1,Lauantai,00010082__1082generatedBlock,Satama,1,1082generatedBlock,0_525,2
1,Lauantai,00010083__1083generatedBlock,Satama,1,1083generatedBlock,0_525,2
1,Lauantai,00010084__1084generatedBlock,Satama,1,1084generatedBlock,0_525,2
1,Lauantai,00010085__1085generatedBlock,Satama,1,1085generatedBlock,0_525,2
1,Lauantai,00010086__1086generatedBlock,Satama,1,1086generatedBlock,0_525,2
1,Lauantai,00010087__1087generatedBlock,Satama,1,1087generatedBlock,0_525,2
1,Lauantai,00010088__1088generatedBlock,Satama,1,1088generatedBlock,0_525,2
1,Lauantai,00010089__1089generatedBlock,Satama,1,1089generatedBlock,0_525,2
1,Lauantai,00010090__1090generatedBlock,Satama,1,1090generatedBlock,0_525,2
1,Lauantai,00010091__1091generatedBlock,Satama,1,1091generatedBlock,0_525,2
1,Lauantai,00010092__1092generatedBlock,Satama,1,1092generatedBlock,0_525,2
1,Lauantai,00010093__1093generatedBlock,Satama,1,1093generatedBlock,0_525,2
1,Lauantai,00010094__1094generatedBlock,Satama,1,1094generatedBlock,0_525,2
1,Lauantai,00010095__1095generatedBlock,Satama,1,1095generatedBlock,0_525,2
1,Lauantai,00010096__1096generatedBlock,Satama,1,1096generatedBlock,0_525,2
1,Lauantai,00010097__1097generatedBlock,Satama,1,1097generatedBlock,0_525,2
1,Lauantai,00010098__1098generatedBlock,Satama,1,1098generatedBlock,0_525,2
1,Lauantai,00010099__1099generatedBlock,Satama,1,1099generatedBlock,0_525,2
1,Lauantai,00010100__1100generatedBlock,Satama,1,1100generatedBlock,0_525,2
1,Lauantai,00010101__1101generatedBlock,Satama,1,1101generatedBlock,0_525,2
1,Lauantai,00010102__1102generatedBlock,Satama,1,1102generatedBlock,0_525,2
1,Lauantai,00010103__1103generatedBlock,Satama,1,1103generatedBlock,0_525,2
1,Lauantai,00010104__1104generatedBlock,Satama,1,1104generatedBlock,0_525,2
1,Lauantai,00010105__1105generatedBlock,Satama,1,1105generatedBlock,0_525,2
1,Lauantai,00010106__1106generatedBlock,Satama,1,1106generatedBlock,0_525,2
1,Lauantai,00010107__1107generatedBlock,Satama,1,1107generatedBlock,0_525,2
1,Lauantai,00010108__1108generatedBlock,Satama,1,1108generatedBlock,0_525,2
1,Lauantai,00010109__1109generatedBlock,Satama,1,1109generatedBlock,0_525,2
1,Lauantai,00010110__1110generatedBlock,Satama,1,1110generatedBlock,0_525,2
1,Lauantai,00010111__1111generatedBlock,Satama,1,1111generatedBlock,0_525,2
1,Lauantai,00010112__1112generatedBlock,Satama,1,1112generatedBlock,0_525,2
1,Lauantai,00010113__1113generatedBlock,Satama,1,1113generatedBlock,0_525,2
1,Lauantai,00010114__1114generatedBlock,Satama,1,1114generatedBlock,0_525,2
1,Lauantai,00010115__1115generatedBlock,Satama,1,1115generatedBlock,0_525,2
1,Lauantai,00010116__1116generatedBlock,Satama,1,1116generatedBlock,0_525,2
1,Lauantai,00010117__1117generatedBlock,Satama,1,1117generatedBlock,0_525,2
1,Lauantai,00010118__1118generatedBlock,Satama,1,1118generatedBlock,0_525,2
1,Lauantai,00010119__1119generatedBlock,Satama,1,1119generatedBlock,0_525,2
1,Lauantai,00010120__1120generatedBlock,Satama,1,1120generatedBlock,0_525,2
1,Lauantai,00010121__1121generatedBlock,Satama,1,1121generatedBlock,0_525,2
1,Lauantai,00010122__1122generatedBlock,Satama,1,1122generatedBlock,0_525,2
1,Lauantai,00010123__1123generatedBlock,Satama,1,1123generatedBlock,0_525,2
1,Lauantai,00010124__1124generatedBlock,Satama,1,1124generatedBlock,0_525,2
1,Lauantai,00010125__1125generatedBlock,Satama,1,1125generatedBlock,0_525,2
1,Lauantai,00010126__1126generatedBlock,Satama,1,1126generatedBlock,0_525,2
1,Lauantai,00010127__1127generatedBlock,Satama,1,1127generatedBlock,0_525,2
1,Lauantai,00010128__1128generatedBlock,Satama,1,1128generatedBlock,0_525,2
1,Lauantai,00010129__1129generatedBlock,Satama,1,1129generatedBlock,0_525,2
1,Lauantai,00010130__1130generatedBlock,Satama,1,1130generatedBlock,0_525,2
1,Lauantai,00010131__1131generatedBlock,Satama,1,1131generatedBlock,0_525,2
1,Lauantai,00010132__1132generatedBlock,Satama,1,1132generatedBlock,0_525,2
1,Lauantai,00010133__1133generatedBlock,Satama,1,1133generatedBlock,0_525,2
1,Lauantai,00010134__1134generatedBlock,Satama,1,1134generatedBlock,0_525,2
1,Pyha,00010135__1135generatedBlock,Satama,1,1135generatedBlock,0_525,2
1,Pyha,00010136__1136generatedBlock,Satama,1,1136generatedBlock,0_525,2
1,Pyha,00010137__1137generatedBlock,Satama,1,1137generatedBlock,0_525,2
1,Pyha,00010138__1138generatedBlock,Satama,1,1138generatedBlock,0_525,2
1,Pyha,00010139__1139generatedBlock,Satama,1,1139generatedBlock,0_525,2
1,Pyha,00010140__1140generatedBlock,Satama,1,1140generatedBlock,0_525,2
1,Pyha,00010141__1141generatedBlock,Satama,1,1141generatedBlock,0_525,2
1,Pyha,00010142__1142generatedBlock,Satama,1,1142generatedBlock,0_525,2
1,Pyha,00010143__1143generatedBlock,Satama,1,1143generatedBlock,0_525,2
1,Pyha,00010144__1144generatedBlock,Satama,1,1144generatedBlock,0_525,2
1,Pyha,00010145__1145generatedBlock,Satama,1,1145generatedBlock,0_525,2
1,Pyha,00010146__1146generatedBlock,Satama,1,1146generatedBlock,0_525,2
1,Pyha,00010147__1147generatedBlock,Satama,1,1147generatedBlock,0_525,2
1,Pyha,00010148__1148generatedBlock,Satama,1,1148generatedBlock,0_525,2
1,Pyha,00010149__1149generatedBlock,Satama,1,1149generatedBlock,0_525,2
1,Pyha,00010150__1150generatedBlock,Satama,1,1150generatedBlock,0_525,2
1,Pyha,00010151__1151generatedBlock,Satama,1,1151generatedBlock,0_525,2
1,Pyha,00010152__1152generatedBlock,Satama,1,1152generatedBlock,0_525,2
1,Pyha,00010153__1153generatedBlock,Satama,1,1153generatedBlock,0_525,2
1,Pyha,00010154__1154generatedBlock,Satama,1,1154generatedBlock,0_525,2
1,Pyha,00010155__1155generatedBlock,Satama,1,1155generatedBlock,0_525,2
1,Pyha,00010156__1156generatedBlock,Satama,1,1156generatedBlock,0_525,2
1,Pyha,00010157__1157generatedBlock,Satama,1,1157generatedBlock,0_525,2
1,Pyha,00010158__1158generatedBlock,Satama,1,1158generatedBlock,0_525,2
1,Pyha,00010159__1159generatedBlock,Satama,1,1159generatedBlock,0_525,2
1,Pyha,00010160__1160generatedBlock,Satama,1,1160generatedBlock,0_525,2
1,Pyha,00010161__1161generatedBlock,Satama,1,1161generatedBlock,0_525,2
1,Pyha,00010162__1162generatedBlock,Satama,1,1162generatedBlock,0_525,2
1,Pyha,00010163__1163generatedBlock,Satama,1,1163generatedBlock,0_525,2
1,Pyha,00010164__1164generatedBlock,Satama,1,1164generatedBlock,0_525,2
1,Pyha,00010165__1165generatedBlock,Satama,1,1165generatedBlock,0_525,2
1,Pyha,00010166__1166generatedBlock,Satama,1,1166generatedBlock,0_525,2
1,Pyha,00010167__1167generatedBlock,Satama,1,1167generatedBlock,0_525,2
1,Pyha,00010168__1168generatedBlock,Satama,1,1168generatedBlock,0_525,2
1,Pyha,00010169__1169generatedBlock,Satama,1,1169generatedBlock,0_525,2
1,Arki,00010170__1170generatedBlock,Lentoasema,0,1170generatedBlock,0_526,2
1,Arki,00010171__1171generatedBlock,Lentoasema,0,1171generatedBlock,0_526,2
1,Arki,00010172__1172generatedBlock,Lentoasema,0,1172generatedBlock,0_526,2
1,Arki,00010173__1173generatedBlock,Lentoasema,0,1173generatedBlock,0_526,2
1,Arki,00010174__1174generatedBlock,Lentoasema,0,1174generatedBlock,0_526,2
1,Arki,00010175__1175generatedBlock,Lentoasema,0,1175generatedBlock,0_526,2
1,Arki,00010176__1176generatedBlock,Lentoasema,0,1176generatedBlock,0_526,2
1,Arki,00010177__1177generatedBlock,Lentoasema,0,1177generatedBlock,0_526,2
1,Arki,00010178__1178generatedBlock,Lentoasema,0,1178generatedBlock,0_526,2
1,Arki,00010179__1179generatedBlock,Lentoasema,0,1179generatedBlock,0_526,2
1,Arki,00010180__1180generatedBlock,Lentoasema,0,1180generatedBlock,0_526,2
1,Arki,00010181__1181generatedBlock,Lentoasema,0,1181generatedBlock,0_526,2
1,Arki,00010182__1182generatedBlock,Lentoasema,0,1182generatedBlock,0_526,2
1,Arki,00010183__1183generatedBlock,Lentoasema,0,1183generatedBlock,0_526,2
1,Arki,00010184__1184generatedBlock,Lentoasema,0,1184generatedBlock,0_526,2
1,Arki,00010185__1185generatedBlock,Lentoasema,0,1185generatedBlock,0_526,2
1,Arki,00010186__1186generatedBlock,Lentoasema,0,1186generatedBlock,0_526,2
1,Arki,00010187__1187generatedBlock,Lentoasema,0,1187generatedBlock,0_526,2
1,Arki,00010188__1188generatedBlock,Lentoasema,0,1188generatedBlock,0_526,2
1,Arki,00010189__1189generatedBlock,Lentoasema,0,1189generatedBlock,0_526,2
1,Arki,00010190__1190generatedBlock,Lentoasema,0,1190generatedBlock,0_526,2
1,Arki,00010191__1191generatedBlock,Lentoasema,0,1191generatedBlock,0_526,2
1,Arki,00010192__1192generatedBlock,Lentoasema,0,1192generatedBlock,0_526,2
1,Arki,00010193__1193generatedBlock,Lentoasema,0,1193generatedBlock,0_526,2
1,Arki,00010194__1194generatedBlock,Lentoasema,0,1194generatedBlock,0_526,2
1,Arki,00010195__1195generatedBlock,Lentoasema,0,1195generatedBlock,0_526,2
1,Arki,00010196__1196generatedBlock,Lentoasema,0,1196generatedBlock,0_526,2
1,Arki,00010197__1197generatedBlock,Lentoasema,0,1197generatedBlock,0_526,2
1,Arki,00010198__1198generatedBlock,Lentoasema,0,1198generatedBlock,0_526,2
1,Arki,00010199__1199generatedBlock,Lentoasema,0,1199generatedBlock,0_526,2
1,Arki,00010200__1200generatedBlock,Lentoasema,0,1200generatedBlock,0_526,2
1,Arki,00010201__1201generatedBlock,Lentoasema,0,1201generatedBlock,0_526,2
1,Arki,00010202__1202generatedBlock,Lentoasema,0,1202generatedBlock,0_526,2
1,Arki,00010203__1203generatedBlock,Lentoasema,0,1203generatedBlock,0_526,2
1,Arki,00010204__1204generatedBlock,Lentoasema,0,1204generatedBlock,0_526,2
1,Arki,00010205__1205generatedBlock,Lentoasema,0,1205generatedBlock,0_526,2
1,Arki,00010206__1206generatedBlock,Lentoasema,0,1206generatedBlock,0_526,2
1,Arki,00010207__1207generatedBlock,Lentoasema,0,1207generatedBlock,0_526,2
1,Arki,00010208__1208generatedBlock,Lentoasema,0,1208generatedBlock,0_526,2
1,Arki,00010209__1209generatedBlock,Lentoasema,0,1209generatedBlock,0_526,2
1,Arki,00010210__1210generatedBlock,Lentoasema,0,1210generatedBlock,0_526,2
1,Arki,00010211__1211generatedBlock,Lentoasema,0,1211generatedBlock,0_526,2
1,Arki,00010212__1212generatedBlock,Lentoasema,0,1212generatedBlock,0_526,2
1,Arki,00010213__1213generatedBlock,Lentoasema,0,1213generatedBlock,0_526,2
1,Arki,00010214__1214generatedBlock,Lentoasema,0,1214generatedBlock,0_526,2
1,Arki,00010215__1215generatedBlock,Lentoasema,0,1215generatedBlock,0_526,2
1,Arki,00010216__1216generatedBlock,Lentoasema,0,1216generatedBlock,0_526,2
1,Arki,00010217__1217generatedBlock,Lentoasema,0,1217generatedBlock,0_526,2
1,Arki,00010218__1218generatedBlock,Lentoasema,0,1218generatedBlock,0_526,2
1,Arki,00010219__1219generatedBlock,Lentoasema,0,1219generatedBlock,0_526,2
1,Arki,00010220__1220generatedBlock,Lentoasema,0,1220generatedBlock,0_526,2
1,Arki,00010221__1221generatedBlock,Lentoasema,0,1221generatedBlock,0_526,2
1,Arki,00010222__1222generatedBlock,Lentoasema,0,1222generatedBlock,0_526,2
1,Arki,00010223__1223generatedBlock,Lentoasema,0,1223generatedBlock,0_526,2
1,Arki,00010224__1224generatedBlock,Lentoasema,0,1224generatedBlock,0_526,2
1,Arki,00010225__1225generatedBlock,Lentoasema,0,1225generatedBlock,0_526,2
1,Arki,00010226__1226generatedBlock,Lentoasema,0,1226generatedBlock,0_526,2
1,Arki,00010227__1227generatedBlock,Lentoasema,0,1227generatedBlock,0_526,2
1,Arki,00010228__1228generatedBlock,Lentoasema,0,1228generatedBlock,0_526,2
1,Arki,00010229__1229generatedBlock,Lentoasema,0,1229generatedBlock,0_526,2
1,Lauantai,00010230__1230generatedBlock,Lentoasema,0,1230generatedBlock,0_526,2
1,Lauantai,00010231__1231generatedBlock,Lentoasema,0,1231generatedBlock,0_526,2
1,Lauantai,00010232__1232generatedBlock,Lentoasema,0,1232generatedBlock,0_526,2
1,Lauantai,00010233__1233generatedBlock,Lentoasema,0,1233generatedBlock,0_526,2
1,Lauantai,00010234__1234generatedBlock,Lentoasema,0,1234generatedBlock,0_526,2
1,Lauantai,00010235__1235generatedBlock,Lentoasema,0,1235generatedBlock,0_526,2
1,Lauantai,00010236__1236generatedBlock,Lentoasema,0,1236generatedBlock,0_526,2
1,Lauantai,00010237__1237generatedBlock,Lentoasema,0,1237generatedBlock,0_526,2
1,Lauantai,00010238__1238generatedBlock,Lentoasema,0,1238generatedBlock,0_526,2
1,Lauantai,00010239__1239generatedBlock,Lentoasema,0,1239generatedBlock,0_526,2
1,Lauantai,00010240__1240generatedBlock,Lentoasema,0,1240generatedBlock,0_526,2
1,Lauantai,00010241__1241generatedBlock,Lentoasema,0,1241generatedBlock,0_526,2
1,Lauantai,00010242__1242generatedBlock,Lentoasema,0,1242generatedBlock,0_526,2
1,Lauantai,00010243__1243generatedBlock,Lentoasema,0,1243generatedBlock,0_526,2
1,Lauantai,00010244__1244generatedBlock,Lentoasema,0,1244generatedBlock,0_526,2
1,Lauantai,00010245__1245generatedBlock,Lentoasema,0,1245generatedBlock,0_526,2
1,Lauantai,00010246__1246generatedBlock,Lentoasema,0,1246generatedBlock,0_526,2
1,Lauantai,00010247__1247generatedBlock,Lentoasema,0,1247generatedBlock,0_526,2
1,Lauantai,00010248__1248generatedBlock,Lentoasema,0,1248generatedBlock,0_526,2
1,Lauantai,00010249__1249generatedBlock,Lentoasema,0,1249generatedBlock,0_526,2
1,Lauantai,00010250__1250generatedBlock,Lentoasema,0,1250generatedBlock,0_526,2
1,Lauantai,00010251__1251generatedBlock,Lentoasema,0,1251generatedBlock,0_526,2
1,Lauantai,00010252__1252generatedBlock,Lentoasema,0,1252generatedBlock,0_526,2
1,Lauantai,00010253__1253generatedBlock,Lentoasema,0,1253generatedBlock,0_526,2
1,Lauantai,00010254__1254generatedBlock,Lentoasema,0,1254generatedBlock,0_526,2
1,Lauantai,00010255__1255generatedBlock,Lentoasema,0,1255generatedBlock,0_526,2
1,Lauantai,00010256__1256generatedBlock,Lentoasema,0,1256generatedBlock,0_526,2
1,Lauantai,00010257__1257generatedBlock,Lentoasema,0,1257generatedBlock,0_526,2
1,Lauantai,00010258__1258generatedBlock,Lentoasema,0,1258generatedBlock,0_526,2
1,Lauantai,00010259__1259generatedBlock,Lentoasema,0,1259generatedBlock,0_526,2
1,Lauantai,00010260__1260generatedBlock,Lentoasema,0,1260generatedBlock,0_526,2
1,Lauantai,00010261__1261generatedBlock,Lentoasema,0,1261generatedBlock,0_526,2
1,Lauantai,00010262__1262generatedBlock,Lentoasema,0,1262generatedBlock,0_526,2
1,Lauantai,00010263__1263generatedBlock,Lentoasema,0,1263generatedBlock,0_526,2
1,Lauantai,00010264__1264generatedBlock,Lentoasema,0,1264generatedBlock,0_526,2
1,Lauantai,00010265__1265generatedBlock,Lentoasema,0,1265generatedBlock,0_526,2
1,Lauantai,00010266__1266generatedBlock,Lentoasema,0,1266generatedBlock,0_526,2
1,Lauantai,00010267__1267generatedBlock,Lentoasema,0,1267generatedBlock,0_526,2
1,Lauantai,00010268__1268generatedBlock,Lentoasema,0,1268generatedBlock,0_526,2
1,Lauantai,00010269__1269generatedBlock,Lentoasema,0,1269generatedBlock,0_526,2
1,Lauantai,00010270__1270generatedBlock,Lentoasema,0,1270generatedBlock,0_526,2
1,Lauantai,00010271__1271generatedBlock,Lentoasema,0,1271generatedBlock,0_526,2
1,Lauantai,00010272__1272generatedBlock,Lentoasema,0,1272generatedBlock,0_526,2
1,Lauantai,00010273__1273generatedBlock,Lentoasema,0,1273generatedBlock,0_526,2
1,Lauantai,00010274__1274generatedBlock,Lentoasema,0,1274generatedBlock,0_526,2
1,Lauantai,00010275__1275generatedBlock,Lentoasema,0,1275generatedBlock,0_526,2
1,Lauantai,00010276__1276generatedBlock,Lentoasema,0,1276generatedBlock,0_526,2
1,Lauantai,00010277__1277generatedBlock,Lentoasema,0,1277generatedBlock,0_526,2
1,Lauantai,00010278__1278generatedBlock,Lentoasema,0,1278generatedBlock,0_526,2
1,Lauantai,00010279__1279generatedBlock,Lentoasema,0,1279generatedBlock,0_526,2
1,Lauantai,00010280__1280generatedBlock,Lentoasema,0,1280generatedBlock,0_526,2
1,Lauantai,00010281__1281generatedBlock,Lentoasema,0,1281generatedBlock,0_526,2
1,Lauantai,00010282__1282generatedBlock,Lentoasema,0,1282generatedBlock,0_526,2
1,Lauantai,00010283__1283generatedBlock,Lentoasema,0,1283generatedBlock,0_526,2
1,Lauantai,00010284__1284generatedBlock,Lentoasema,0,1284generatedBlock,0_526,2
1,Lauantai,00010285__1285generatedBlock,Lentoasema,0,1285generatedBlock,0_526,2
1,Lauantai,00010286__1286generatedBlock,Lentoasema,0,1286generatedBlock,0_526,2
1,Lauantai,00010287__1287generatedBlock,Lentoasema,0,1287generatedBlock,0_526,2
1,Lauantai,00010288__1288generatedBlock,Lentoasema,0,1288generatedBlock,0_526,2
1,Lauantai,00010289__1289generatedBlock,Lentoasema,0,1289generatedBlock,0_526,2
1,Lauantai,00010290__1290generatedBlock,Lentoasema,0,1290generatedBlock,0_526,2
1,Lauantai,00010291__1291generatedBlock,Lentoasema,0,1291generatedBlock,0_526,2
1,Lauantai,00010292__1292generatedBlock,Lentoasema,0,1292generatedBlock,0_526,2
1,Lauantai,00010293__1293generatedBlock,Lentoasema,0,1293generatedBlock,0_526,2
1,Lauantai,00010294__1294generatedBlock,Lentoasema,0,1294generatedBlock,0_526,2
1,Lauantai,00010295__1295generatedBlock,Lentoasema,0,1295generatedBlock,0_526,2
1,Lauantai,00010296__1296generatedBlock,Lentoasema,0,1296generatedBlock,0_526,2
1,Lauantai,00010297__1297generatedBlock,Lentoasema,0,1297generatedBlock,0_526,2
1,Lauantai,00010298__1298generatedBlock,Lentoasema,0,1298generatedBlock,0_526,2
1,Lauantai,00010299__1299generatedBlock,Lentoasema,0,1299generatedBlock,0_526,2
1,Pyha,00010300__1300generatedBlock,Lentoasema,0,1300generatedBlock,0_526,2
1,Pyha,00010301__1301generatedBlock,Lentoasema,0,1301generatedBlock,0_526,2
1,Pyha,00010302__1302generatedBlock,Lentoasema,0,1302generatedBlock,0_526,2
1,Pyha,00010303__1303generatedBlock,Lentoasema,0,1303generatedBlock,0_526,2
1,Pyha,00010304__1304generatedBlock,Lentoasema,0,1304generatedBlock,0_526,2
1,Pyha,00010305__1305generatedBlock,Lentoasema,0,1305generatedBlock,0_526,2
1,Pyha,00010306__1306generatedBlock,Lentoasema,0,1306generatedBlock,0_526,2
1,Pyha,00010307__1307generatedBlock,Lentoasema,0,1307generatedBlock,0_526,2
1,Pyha,00010308__1308generatedBlock,Lentoasema,0,1308generatedBlock,0_526,2
1,Pyha,00010309__1309generatedBlock,Lentoasema,0,1309generatedBlock,0_526,2
1,Pyha,00010310__1310generatedBlock,Lentoasema,0,1310generatedBlock,0_526,2
1,Pyha,00010311__1311generatedBlock,Lentoasema,0,1311generatedBlock,0_526,2
1,Pyha,00010312__1312generatedBlock,Lentoasema,0,1312generatedBlock,0_526,2
1,Pyha,00010313__1313generatedBlock,Lentoasema,0,1313generatedBlock,0_526,2
1,Pyha,00010314__1314generatedBlock,Lentoasema,0,1314generatedBlock,0_526,2
1,Pyha,00010315__1315generatedBlock,Lentoasema,0,1315generatedBlock,0_526,2
1,Pyha,00010316__1316generatedBlock,Lentoasema,0,1316generatedBlock,0_526,2
1,Pyha,00010317__1317generatedBlock,Lentoasema,0,1317generatedBlock,0_526,2
1,Pyha,00010318__1318generatedBlock,Lentoasema,0,1318generatedBlock,0_526,2
1,Pyha,00010319__1319generatedBlock,Lentoasema,0,1319generatedBlock,0_526,2
1,Pyha,00010320__1320generatedBlock,Lentoasema,0,1320generatedBlock,0_526,2
1,Pyha,00010321__1321generatedBlock,Lentoasema,0,1321generatedBlock,0_526,2
1,Pyha,00010322__1322generatedBlock,Lentoasema,0,1322generatedBlock,0_526,2
1,Pyha,00010323__1323generatedBlock,Lentoasema,0,1323generatedBlock,0_526,2
1,Pyha,00010324__1324generatedBlock,Lentoasema,0,1324generatedBlock,0_526,2
1,Pyha,00010325__1325generatedBlock,Lentoasema,0,1325generatedBlock,0_526,2
1,Pyha,00010326__1326generatedBlock,Lentoasema,0,1326generatedBlock,0_526,2
